,date,vix
290,2021-03-22,23
291,2021-03-19,23
292,2021-03-18,22
293,2021-03-17,24
294,2021-03-16,24
295,2021-03-15,25
296,2021-03-12,25
297,2021-03-11,26
298,2021-03-10,28
299,2021-03-09,29
300,2021-03-08,29
301,2021-03-05,29
302,2021-03-04,29
303,2021-03-03,28
304,2021-03-02,30
305,2021-02-26,31
306,2021-02-25,27
307,2021-02-24,28
308,2021-02-23,27
309,2021-02-22,27
310,2021-02-19,26
311,2021-02-18,26
312,2021-02-17,25
313,2021-02-16,25
314,2021-02-15,26
315,2021-02-10,26
316,2021-02-09,25
317,2021-02-08,27
318,2021-02-05,28
319,2021-02-04,32
320,2021-02-03,31
321,2021-02-02,33
322,2021-02-01,34
323,2021-01-29,35
324,2021-01-28,33
325,2021-01-27,29
326,2021-01-26,29
327,2021-01-25,28
328,2021-01-22,29
329,2021-01-21,30
330,2021-01-20,33
331,2021-01-19,34
332,2021-01-18,33
333,2021-01-15,31
334,2021-01-14,29
335,2021-01-13,32
336,2021-01-12,34
337,2021-01-11,35
338,2021-01-08,29
339,2021-01-07,26
340,2021-01-06,27
341,2021-01-05,26
342,2021-01-04,24
343,2020-12-30,22
344,2020-12-29,21
345,2020-12-28,23
346,2020-12-24,21
347,2020-12-23,21
348,2020-12-22,22
349,2020-12-21,20
350,2020-12-18,19
351,2020-12-17,19
352,2020-12-16,20
353,2020-12-15,21
354,2020-12-14,21
355,2020-12-11,19
356,2020-12-10,20
357,2020-12-09,20
358,2020-12-08,20
359,2020-12-07,21
360,2020-12-04,21
361,2020-12-03,20
362,2020-12-02,20
363,2020-12-01,20
364,2020-11-30,20
365,2020-11-27,19
366,2020-11-26,20
367,2020-11-25,20
368,2020-11-24,19
369,2020-11-23,19
370,2020-11-20,19
371,2020-11-19,19
372,2020-11-18,19
373,2020-11-17,19
374,2020-11-16,20
375,2020-11-13,19
376,2020-11-12,19
377,2020-11-11,20
378,2020-11-10,21
379,2020-11-09,21
380,2020-11-06,21
381,2020-11-05,22
382,2020-11-04,24
383,2020-11-03,26
384,2020-11-02,28
385,2020-10-30,31
386,2020-10-29,25
387,2020-10-28,23
388,2020-10-27,23
389,2020-10-26,22
390,2020-10-23,21
391,2020-10-22,22
392,2020-10-21,21
393,2020-10-20,22
394,2020-10-19,22
395,2020-10-16,22
396,2020-10-15,21
397,2020-10-14,20
398,2020-10-13,20
399,2020-10-12,20
400,2020-10-08,21
401,2020-10-07,21
402,2020-10-06,22
403,2020-10-05,23
404,2020-09-29,24
405,2020-09-28,25
406,2020-09-25,26
407,2020-09-24,27
408,2020-09-23,24
409,2020-09-22,25
410,2020-09-21,23
411,2020-09-18,21
412,2020-09-17,22
413,2020-09-16,21
414,2020-09-15,20
415,2020-09-14,21
416,2020-09-11,21
417,2020-09-10,22
418,2020-09-09,24
419,2020-09-08,23
420,2020-09-07,25
421,2020-09-04,27
422,2020-09-03,25
423,2020-09-02,26
424,2020-09-01,27
425,2020-08-31,27
426,2020-08-28,26
427,2020-08-27,27
428,2020-08-26,25
429,2020-08-25,24
430,2020-08-24,26
431,2020-08-21,26
432,2020-08-20,28
433,2020-08-19,24
434,2020-08-18,25
435,2020-08-14,22
436,2020-08-13,22
437,2020-08-12,22
438,2020-08-11,22
439,2020-08-10,22
440,2020-08-07,22
441,2020-08-06,22
442,2020-08-05,21
443,2020-08-04,22
444,2020-08-03,23
445,2020-07-31,23
446,2020-07-30,22
447,2020-07-29,23
448,2020-07-28,22
449,2020-07-27,22
450,2020-07-24,22
451,2020-07-23,21
452,2020-07-22,20
453,2020-07-21,21
454,2020-07-20,22
455,2020-07-17,22
456,2020-07-16,23
457,2020-07-15,23
458,2020-07-14,24
459,2020-07-13,23
460,2020-07-10,24
461,2020-07-09,23
462,2020-07-08,25
463,2020-07-07,24
464,2020-07-06,24
465,2020-07-03,24
466,2020-07-02,27
467,2020-07-01,29
468,2020-06-30,31
469,2020-06-29,33
470,2020-06-26,30
471,2020-06-25,33
472,2020-06-24,30
473,2020-06-23,31
474,2020-06-22,34
475,2020-06-19,34
476,2020-06-18,37
477,2020-06-17,37
478,2020-06-16,35
479,2020-06-15,39
480,2020-06-12,32
481,2020-06-11,26
482,2020-06-10,26
483,2020-06-09,26
484,2020-06-08,27
485,2020-06-05,25
486,2020-06-04,25
487,2020-06-03,25
488,2020-06-02,25
489,2020-06-01,24
490,2020-05-29,25
491,2020-05-28,25
492,2020-05-27,24
493,2020-05-26,23
494,2020-05-25,25
495,2020-05-22,27
496,2020-05-21,23
497,2020-05-20,24
498,2020-05-19,25
499,2020-05-18,27
500,2020-05-15,26
501,2020-05-14,26
502,2020-05-13,25
503,2020-05-12,27
504,2020-05-11,29
505,2020-05-08,28
506,2020-05-07,31
507,2020-05-06,31
508,2020-05-04,36
509,2020-04-29,30
510,2020-04-28,32
511,2020-04-27,35
512,2020-04-24,37
513,2020-04-23,34
514,2020-04-22,36
515,2020-04-21,36
516,2020-04-20,33
517,2020-04-17,31
518,2020-04-16,34
519,2020-04-14,36
520,2020-04-13,39
521,2020-04-10,35
522,2020-04-09,35
523,2020-04-08,40
524,2020-04-07,36
525,2020-04-06,38
526,2020-04-03,45
527,2020-04-02,47
528,2020-04-01,50
529,2020-03-31,48
